city,year,avg_uhi,moving_avg_5yr
Kochi,2006,0.2702,0.3497
Kochi,2007,0.3965,0.442
Kochi,2008,0.622,0.4942
Kochi,2009,0.7318,0.5108
Kochi,2010,0.4507,0.5209
Kochi,2011,0.3529,0.4554
Kochi,2012,0.447,0.404
Kochi,2013,0.2945,0.4093
Kochi,2014,0.475,0.4648
Kochi,2015,0.4772,0.5
Kochi,2016,0.6303,0.5697
Kochi,2017,0.6229,0.5794
Kochi,2018,0.6432,0.5977
Kochi,2019,0.5233,0.6074
Kochi,2020,0.5687,0.583
Kochi,2021,0.6789,0.5674
Kochi,2022,0.501,0.6049
Kochi,2023,0.5649,0.614
Kochi,2024,0.7111,0.5923
Kolkata,2000,0.1161,0.1549
Kolkata,2001,0.169,0.1553
Kolkata,2002,0.1795,0.1521
Kolkata,2003,0.1564,0.1338
Kolkata,2004,0.1396,0.1093
Kolkata,2005,0.0243,0.0856
Kolkata,2006,0.0469,0.104
Kolkata,2007,0.0606,0.1299
Kolkata,2008,0.2484,0.1622
Kolkata,2009,0.2693,0.2034
Kolkata,2010,0.1859,0.257
Kolkata,2011,0.2527,0.256
Kolkata,2012,0.3288,0.2964
Kolkata,2013,0.2432,0.3579
Kolkata,2014,0.4713,0.402
Kolkata,2015,0.4937,0.4265
Kolkata,2016,0.473,0.5054
Kolkata,2017,0.4511,0.5165
Kolkata,2018,0.6377,0.5342
Kolkata,2019,0.527,0.5276
Kolkata,2020,0.582,0.5258
Kolkata,2021,0.4401,0.4668
Kolkata,2022,0.4424,0.4563
Kolkata,2023,0.3424,0.4249
Kolkata,2024,0.4748,0.4199
Mumbai,2000,-1.9412,-2.5189
Mumbai,2001,-2.9227,-2.6854
Mumbai,2002,-2.6927,-2.6136
Mumbai,2003,-3.1849,-2.8459
Mumbai,2004,-2.3265,-2.8043
Mumbai,2005,-3.1027,-2.8369
Mumbai,2006,-2.7146,-2.7932
Mumbai,2007,-2.8558,-2.9669
Mumbai,2008,-2.9663,-2.8252
Mumbai,2009,-3.195,-2.775
Mumbai,2010,-2.3943,-2.7562
Mumbai,2011,-2.4634,-2.7562
Mumbai,2012,-2.762,-2.7121
Mumbai,2013,-2.9664,-2.7995
Mumbai,2014,-2.9745,-2.9409
Mumbai,2015,-2.8311,-2.8825
Mumbai,2016,-3.1705,-2.8235
Mumbai,2017,-2.4702,-2.7749
Mumbai,2018,-2.6713,-2.7337
Mumbai,2019,-2.7314,-2.5506
Mumbai,2020,-2.625,-2.505
Mumbai,2021,-2.2551,-2.4909
Mumbai,2022,-2.2421,-2.4008
Mumbai,2023,-2.601,-2.3448
Mumbai,2024,-2.2808,-2.3746
Pune,2000,-0.1775,0.0614
Pune,2001,0.3336,0.0344
Pune,2002,0.0281,0.0905
Pune,2003,-0.0468,0.143
Pune,2004,0.3151,0.1151
Pune,2005,0.0852,0.2295
Pune,2006,0.1938,0.3162
Pune,2007,0.6,0.2843
Pune,2008,0.3871,0.3519
Pune,2009,0.1552,0.3385
Pune,2010,0.4234,0.2007
Pune,2011,0.127,0.1486
Pune,2012,-0.089,0.1717
Pune,2013,0.1266,0.1496
Pune,2014,0.2705,0.118
Pune,2015,0.3127,0.1575
Pune,2016,-0.031,0.1259
Pune,2017,0.1087,0.0664
Pune,2018,-0.0316,0.0309
Pune,2019,-0.027,0.0604
Pune,2020,0.1352,0.0333
Pune,2021,0.1165,0.0341
Pune,2022,-0.0267,0.0527
Pune,2023,-0.0276,0.0321
Pune,2024,0.066,0.0039
Surat,2000,-0.5071,-0.4436
Surat,2001,-0.3898,-0.4307
Surat,2002,-0.4338,-0.4211
Surat,2003,-0.392,-0.3625
Surat,2004,-0.383,-0.3318
Surat,2005,-0.214,-0.2866
Surat,2006,-0.2361,-0.2957
Surat,2007,-0.2081,-0.2484
Surat,2008,-0.4372,-0.2222
Surat,2009,-0.1468,-0.2284
Surat,2010,-0.083,-0.2319
Surat,2011,-0.2669,-0.1838
Surat,2012,-0.2256,-0.2387
Surat,2013,-0.1965,-0.3125
Surat,2014,-0.4215,-0.3275
Surat,2015,-0.4518,-0.3709
Surat,2016,-0.342,-0.3955
Surat,2017,-0.4425,-0.3389
Surat,2018,-0.3199,-0.3134
Surat,2019,-0.1381,-0.3235
Surat,2020,-0.3246,-0.2762
Surat,2021,-0.3926,-0.2523
Surat,2022,-0.206,-0.2285
Surat,2023,-0.2,-0.2044
Surat,2024,-0.0191,-0.1417
