city,year,month,predicted_uhi
Jaipur,2027,5,-1.8395
Jaipur,2027,6,-1.4677
Jaipur,2027,7,-0.8984
Jaipur,2027,8,-0.4812
Jaipur,2027,9,-0.9018
Jaipur,2027,10,-1.8399
Jaipur,2027,11,-1.0443
Jaipur,2027,12,-0.7046
Jaipur,2028,1,-0.5028
Jaipur,2028,2,-0.5068
Jaipur,2028,3,-1.4584
Jaipur,2028,4,-2.6496
Jaipur,2028,5,-1.8395
Jaipur,2028,6,-1.4677
Jaipur,2028,7,-0.8984
Jaipur,2028,8,-0.4812
Jaipur,2028,9,-0.9018
Jaipur,2028,10,-1.8399
Jaipur,2028,11,-1.0443
Jaipur,2028,12,-0.7046
Jaipur,2029,1,-0.5028
Jaipur,2029,2,-0.5068
Jaipur,2029,3,-1.4584
Jaipur,2029,4,-2.6496
Jaipur,2029,5,-1.8395
Jaipur,2029,6,-1.4677
Jaipur,2029,7,-0.8984
Jaipur,2029,8,-0.4812
Jaipur,2029,9,-0.9018
Jaipur,2029,10,-1.8399
Jaipur,2029,11,-1.0443
Jaipur,2029,12,-0.7046
Jaipur,2030,1,-0.5028
Jaipur,2030,2,-0.5068
Jaipur,2030,3,-1.4584
Jaipur,2030,4,-2.6496
Jaipur,2030,5,-1.8395
Jaipur,2030,6,-1.4677
Jaipur,2030,7,-0.8984
Jaipur,2030,8,-0.4812
Jaipur,2030,9,-0.9018
Jaipur,2030,10,-1.8399
Jaipur,2030,11,-1.0443
Jaipur,2030,12,-0.7046
Ahmedabad,2025,1,0.6583
Ahmedabad,2025,2,0.6822
Ahmedabad,2025,3,0.8662
Ahmedabad,2025,4,0.5149
Ahmedabad,2025,5,-0.1484
Ahmedabad,2025,6,0.207
Ahmedabad,2025,7,0.1171
Ahmedabad,2025,8,0.785
Ahmedabad,2025,9,0.6787
Ahmedabad,2025,10,0.473
Ahmedabad,2025,11,0.3666
Ahmedabad,2025,12,0.4407
Ahmedabad,2026,1,0.6583
Ahmedabad,2026,2,0.6822
Ahmedabad,2026,3,0.8662
Ahmedabad,2026,4,0.5149
Ahmedabad,2026,5,-0.1484
Ahmedabad,2026,6,0.207
Ahmedabad,2026,7,0.1171
Ahmedabad,2026,8,0.785
Ahmedabad,2026,9,0.6787
Ahmedabad,2026,10,0.473
Ahmedabad,2026,11,0.3666
Ahmedabad,2026,12,0.4407
Ahmedabad,2027,1,0.6583
Ahmedabad,2027,2,0.6822
Ahmedabad,2027,3,0.8662
Ahmedabad,2027,4,0.5149
Ahmedabad,2027,5,-0.1484
Ahmedabad,2027,6,0.207
Ahmedabad,2027,7,0.1171
Ahmedabad,2027,8,0.785
Ahmedabad,2027,9,0.6787
Ahmedabad,2027,10,0.473
Ahmedabad,2027,11,0.3666
Ahmedabad,2027,12,0.4407
Ahmedabad,2028,1,0.6583
Ahmedabad,2028,2,0.6822
Ahmedabad,2028,3,0.8662
Ahmedabad,2028,4,0.5149
Ahmedabad,2028,5,-0.1484
Ahmedabad,2028,6,0.207
Ahmedabad,2028,7,0.1171
Ahmedabad,2028,8,0.785
Ahmedabad,2028,9,0.6787
Ahmedabad,2028,10,0.473
Ahmedabad,2028,11,0.3666
Ahmedabad,2028,12,0.4407
Ahmedabad,2029,1,0.6583
Ahmedabad,2029,2,0.6822
Ahmedabad,2029,3,0.8662
Ahmedabad,2029,4,0.5149
Ahmedabad,2029,5,-0.1484
Ahmedabad,2029,6,0.207
Ahmedabad,2029,7,0.1171
Ahmedabad,2029,8,0.785
Ahmedabad,2029,9,0.6787
Ahmedabad,2029,10,0.473
Ahmedabad,2029,11,0.3666
Ahmedabad,2029,12,0.4407
Ahmedabad,2030,1,0.6583
Ahmedabad,2030,2,0.6822
Ahmedabad,2030,3,0.8662
Ahmedabad,2030,4,0.5149
Ahmedabad,2030,5,-0.1484
Ahmedabad,2030,6,0.207
Ahmedabad,2030,7,0.1171
