city,date,year,month,day_of_year,LST_Day_Urban,LST_Day_Rural,LST_Night_Urban,UHI_Index
Jaipur,2000-02-26,2000,2,57,31.51493111583606,32.1097105019699,12.105450150001495,-0.5947793861338404
Jaipur,2000-03-05,2000,3,65,31.523137214725498,32.43003937589001,11.19095629774907,-0.9069021611645134
Jaipur,2000-03-13,2000,3,73,36.04947502000465,37.00068820490432,13.355550040991066,-0.9512131848996717
Jaipur,2000-03-21,2000,3,81,37.436887710380816,38.49206336732476,14.52810394049356,-1.0551756569439448
Jaipur,2000-03-29,2000,3,89,43.365385069827816,44.442071828775134,18.060516977550513,-1.076686758947318
Jaipur,2000-04-06,2000,4,97,47.53419482954631,48.66133399860715,19.029977066139125,-1.1271391690608397
Jaipur,2000-04-14,2000,4,105,43.43475131830969,43.99204328437325,21.243093359964902,-0.5572919660635662
Jaipur,2000-04-22,2000,4,113,41.97631027407657,42.64809695355935,21.721343058473302,-0.6717866794827856
Jaipur,2000-04-30,2000,4,121,48.060492607447586,48.661400983357936,23.732681373127313,-0.6009083759103504
Jaipur,2000-05-08,2000,5,129,42.05559185937863,41.78915011286198,22.808058962080526,0.266441746516648
Jaipur,2000-05-16,2000,5,137,43.92857082746914,43.71644134676361,26.526861333991125,0.21212948070552784
Jaipur,2000-05-24,2000,5,145,43.230439305569796,43.28612976431117,27.253570575882062,-0.055690458741374016
Jaipur,2000-06-01,2000,6,153,42.45741865258214,42.25367552816173,24.991193499586267,0.20374312442041287
Jaipur,2000-06-09,2000,6,161,34.43404371727752,35.48407877418718,23.787036125654495,-1.050035056909664
Jaipur,2000-06-17,2000,6,169,40.20394830795524,40.84763383653178,23.544756034298643,-0.6436855285765404
Jaipur,2000-06-25,2000,6,177,39.758753359131475,40.46781817616437,25.084691497366478,-0.7090648170328961
Jaipur,2000-07-03,2000,7,185,39.684950527297055,40.28210961681572,24.894090909090945,-0.5971590895186623
Jaipur,2000-07-27,2000,7,209,35.42572514040307,35.80104483262132,,-0.37531969221825534
Jaipur,2000-08-04,2000,8,217,38.07541746180989,37.30815048476723,21.658778008434,0.7672669770426594
Jaipur,2000-08-20,2000,8,233,33.925683459612785,34.90939628048971,24.905158846204994,-0.9837128208769244
